Year,Country,Gap_to_USA
2026,China,4.4675044037746545
2027,China,4.1975038310157515
2028,China,3.7529606396749102
2029,China,3.4916872878337273
2030,China,3.7686308752680873
2031,China,4.841377580960426
2032,China,6.843239786199689
2033,China,9.806578106735145
2034,China,13.703589247516703
2035,China,18.482250934656093
2026,India,-68.48166907236137
2027,India,-82.34586367935664
2028,India,-95.73391145104624
2029,India,-107.97368325705264
2030,India,-118.71844130985977
2031,India,-127.9417842989507
2032,India,-135.83135170917419
2033,India,-142.66340548780192
2034,India,-148.7134439946987
2035,India,-154.21365786985902
2026,UK,-69.99068429411408
2027,UK,-85.73832944350663
2028,UK,-101.62851010831889
2029,UK,-116.89799671633807
2030,UK,-131.02578773275604
2031,UK,-143.77930139796175
2032,UK,-155.1661714279749
2033,UK,-165.34533335464207
2034,UK,-174.5432358321021
2035,UK,-182.99569069710657
2026,Germany,-71.39752018139855
2027,Germany,-87.17807207256537
2028,Germany,-103.04642286232412
2029,Germany,-118.25074880261367
2030,Germany,-132.2865678444476
2031,Germany,-144.93775488413957
2032,Germany,-156.22483081239747
2033,Germany,-166.31484629816825
2034,Germany,-175.4380805529101
2035,Germany,-183.83111286073733
