Year,Country,Rank
2026,China,1.0
2026,USA,2.0
2026,UAE,3.0
2026,India,4.0
2026,France,5.0
2026,UK,6.0
2026,Japan,7.0
2026,South Korea,8.0
2026,Germany,9.0
2026,Canada,10.0
2027,China,1.0
2027,USA,2.0
2027,India,3.0
2027,UAE,4.0
2027,France,5.0
2027,Japan,6.0
2027,South Korea,7.0
2027,UK,8.0
2027,Germany,9.0
2027,Canada,10.0
2028,China,1.0
2028,USA,2.0
2028,India,3.0
2028,France,4.0
2028,UAE,5.0
2028,Japan,6.0
2028,South Korea,7.0
2028,UK,8.0
2028,Germany,9.0
2028,Canada,10.0
2029,China,1.0
2029,USA,2.0
2029,India,3.0
2029,France,4.0
2029,Japan,5.0
2029,South Korea,6.0
2029,UAE,7.0
2029,UK,8.0
2029,Germany,9.0
2029,Canada,10.0
2030,China,1.0
2030,USA,2.0
2030,India,3.0
2030,France,4.0
2030,Japan,5.0
2030,South Korea,6.0
2030,UAE,7.0
2030,UK,8.0
2030,Germany,9.0
2030,Canada,10.0
2031,China,1.0
2031,USA,2.0
2031,India,3.0
2031,France,4.0
2031,Japan,5.0
2031,South Korea,6.0
2031,UAE,7.0
2031,UK,8.0
2031,Germany,9.0
2031,Canada,10.0
2032,China,1.0
2032,USA,2.0
2032,India,3.0
2032,France,4.0
2032,Japan,5.0
2032,South Korea,6.0
2032,UAE,7.0
2032,UK,8.0
2032,Germany,9.0
2032,Canada,10.0
2033,China,1.0
2033,USA,2.0
2033,India,3.0
2033,France,4.0
2033,Japan,5.0
2033,South Korea,6.0
2033,UAE,7.0
2033,UK,8.0
2033,Germany,9.0
2033,Canada,10.0
2034,China,1.0
2034,USA,2.0
2034,India,3.0
2034,France,4.0
2034,Japan,5.0
2034,South Korea,6.0
2034,UAE,7.0
2034,UK,8.0
2034,Germany,9.0
2034,Canada,10.0
2035,China,1.0
2035,USA,2.0
2035,India,3.0
2035,France,4.0
2035,Japan,5.0
2035,South Korea,6.0
2035,UAE,7.0
2035,UK,8.0
2035,Germany,9.0
2035,Canada,10.0
