Country,Year,Type,Value_Actual,Value_Fitted,Value_Base,Value_Optimistic,Value_Conservative
Canada,2016,Historical,0.22518791350655396,0.22547631442694682,,,
Canada,2017,Historical,0.2986778167011664,0.32413375707335523,,,
Canada,2018,Historical,0.4652096498697235,0.4594568897773235,,,
Canada,2019,Historical,0.6587030855680396,0.6390449936489172,,,
Canada,2020,Historical,0.8622880174988639,0.8672145520799784,,,
Canada,2021,Historical,1.132989608978559,1.1415812866090134,,,
Canada,2022,Historical,1.4703878222323614,1.4504789981417918,,,
Canada,2023,Historical,1.7714072150207663,1.77350603068399,,,
Canada,2024,Historical,2.059660229151792,2.086252691321053,,,
Canada,2025,Historical,2.383097567689424,2.3672502384724763,,,
Canada,2026,Forecast,,,2.6293056056683546,2.681371063206342,2.603272876899361
Canada,2027,Forecast,,,2.8466461470938045,2.9605008307536687,2.7905559720554893
Canada,2028,Forecast,,,3.0214278120119378,3.2044963061633136,2.9325680670133654
Canada,2029,Forecast,,,3.159886229285723,3.4177071734124507,3.0365885571455014
Canada,2030,Forecast,,,3.269550234169581,3.6063449828416525,3.1108648617189663
Canada,2031,Forecast,,,3.357527548599252,3.776719149226241,3.162942829392662
Canada,2032,Forecast,,,3.429751433892968,3.934355531844659,3.1989910855496575
Canada,2033,Forecast,,,3.490829523831374,4.083715210914507,3.2237224978041925
Canada,2034,Forecast,,,3.544181610535258,4.228230222664563,3.24058639085114
Canada,2035,Forecast,,,3.592272765975205,4.370466694634364,3.252037672736233
China,2016,Historical,4.800704320650523,4.423083218520176,,,
China,2017,Historical,6.373431581446967,6.3427723900110875,,,
China,2018,Historical,9.518886103039856,9.032892087540933,,,
China,2019,Historical,13.13918353504171,12.740790535004614,,,
China,2020,Historical,17.402515481327658,17.73667194237422,,,
China,2021,Historical,23.490862094222756,24.265679675405227,,,
China,2022,Historical,32.18571759066979,32.4663030233994,,,
China,2023,Historical,42.16664211568503,42.2681119422445,,,
China,2024,Historical,54.625414350106226,53.31249239352357,,,
China,2025,Historical,64.29434982016333,64.95936281974173,,,
China,2026,Forecast,,,80.82390461237503,82.35219133376503,80.05976125168004
China,2027,Forecast,,,97.25607802703286,100.96885169459878,95.42577122045654
China,2028,Forecast,,,113.59873617869275,120.16541681883402,110.40707120471644
China,2029,Forecast,,,129.41736451537085,139.48704742616926,124.59207086836234
China,2030,Forecast,,,144.53142200893248,158.72266182221713,137.82709155464985
China,2031,Forecast,,,158.96445716933454,177.87381767426328,150.15742450493158
China,2032,Forecast,,,172.86513731209212,197.08553153487094,161.7441783257096
China,2033,Forecast,,,186.4374629921376,216.57875082956005,172.7940923217018
China,2034,Forecast,,,199.89441123478807,236.60212699703848,183.51468432737497
China,2035,Forecast,,,213.43356756484454,257.4044488150384,194.09187518264488
France,2016,Historical,0.17687575187609414,0.13918090226887805,,,
France,2017,Historical,0.22284574217797404,0.21248996615731444,,,
France,2018,Historical,0.3501205778438944,0.32392074853509834,,,
France,2019,Historical,0.5311950173368849,0.49265191796067503,,,
France,2020,Historical,0.7951689446615746,0.746677983042788,,,
France,2021,Historical,1.1290650532496642,1.1258114871896319,,,
France,2022,Historical,1.5954468945238647,1.684400842394164,,,
France,2023,Historical,2.3721832398537694,2.4919107220858296,,,
France,2024,Historical,3.79928496961561,3.627792830506167,,,
France,2025,Historical,5.117682735631409,5.165640630377473,,,
France,2026,Forecast,,,7.217971713966373,7.360838553027714,7.146538294435701
France,2027,Forecast,,,9.725141945497068,10.113935554424845,9.533602664020524
France,2028,Forecast,,,12.562332423424975,13.323141216543377,12.193038067377534
France,2029,Forecast,,,15.514308185997368,16.779572058823998,14.909209312449663
France,2030,Forecast,,,18.337814845303054,20.225914459964034,17.44818793575295
France,2031,Forecast,,,20.840170864683667,23.440883404038956,19.632905300376116
France,2032,Forecast,,,22.925119238868444,26.296407377363632,21.383335452878434
France,2033,Forecast,,,24.588605989330034,28.762778728667346,22.7079695427063
France,2034,Forecast,,,25.884719562046893,30.878238203322123,23.668373211941915
France,2035,Forecast,,,26.88972510533684,32.712032422599684,24.343995354378016
Germany,2016,Historical,0.38395333712700225,0.35903990947853714,,,
Germany,2017,Historical,0.46807837556133414,0.4880784327509285,,,
Germany,2018,Historical,0.652111280712826,0.6605243328887739,,,
Germany,2019,Historical,0.869151540953661,0.8885844612761737,,,
Germany,2020,Historical,1.185213866462525,1.1860630510276766,,,
Germany,2021,Historical,1.5942015587700964,1.567185810512826,,,
Germany,2022,Historical,2.057010564317711,2.0443957359632865,,,
Germany,2023,Historical,2.6200888951489603,2.6250437018325616,,,
Germany,2024,Historical,3.283436551263844,3.3074214869640817,,,
Germany,2025,Historical,4.089339333451076,4.077357267883084,,,
Germany,2026,Forecast,,,4.958880027201824,5.057023581862684,4.909808249871394
Germany,2027,Forecast,,,5.880502123451737,6.11557316332444,5.764694159137281
Germany,2028,Forecast,,,6.7993526766937125,7.211103032882859,6.599489743301003
Germany,2029,Forecast,,,7.674928424923448,8.300797975370424,7.375611860016066
Germany,2030,Forecast,,,8.4762232892168,9.348873351668232,8.065049528472526
Germany,2031,Forecast,,,9.185324704234551,10.331485691456288,8.653266782558152
Germany,2032,Forecast,,,9.797066713494944,11.23765534051747,9.138240326397895
Germany,2033,Forecast,,,10.316038587234207,12.067129632302201,9.527092851981733
Germany,2034,Forecast,,,10.752741434361269,12.826896796057081,9.832129105583341
Germany,2035,Forecast,,,11.120203769451107,13.527779656543814,10.067509437491022
India,2016,Historical,0.19553917048458,0.232900584632763,,,
India,2017,Historical,0.3012766418402703,0.33851277082563325,,,
India,2018,Historical,0.5356674434084858,0.4911750857280657,,,
India,2019,Historical,0.804152878080467,0.710927869586328,,,
India,2020,Historical,1.1028254747714996,1.025359549794249,,,
India,2021,Historical,1.4847882543574706,1.471413740588865,,,
India,2022,Historical,2.0557493454825453,2.0965377718440013,,,
India,2023,Historical,2.7850652737989336,2.9578471466332656,,,
India,2024,Historical,4.212289607291724,4.1171809448964485,,,
India,2025,Historical,5.638878988296566,5.629553466962782,,,
India,2026,Forecast,,,7.874731136239008,8.025208491628467,7.79949245854428
India,2027,Forecast,,,10.712710516660463,11.12603822971888,10.508980466609104
India,2028,Forecast,,,14.111864087971592,14.93640747097494,13.711223440054972
India,2029,Forecast,,,17.951993970484487,19.363998961581675,17.27567894962768
India,2030,Forecast,,,22.04434982380463,24.232612659055153,21.011174653449206
India,2031,Forecast,,,26.18129528942342,29.33017568821871,24.715805859739618
India,2032,Forecast,,,30.190545816718245,34.46792104355784,28.22833213371823
India,2033,Forecast,,,33.967479397600535,39.52100997271614,31.456339422006202
India,2034,Forecast,,,37.477377992572656,44.43799974939065,34.37515525802491
India,2035,Forecast,,,40.73765876032942,49.22684002721476,37.00855625081013
Japan,2016,Historical,0.3385677789403406,0.26678206986371095,,,
Japan,2017,Historical,0.4152685702684834,0.3742420187752353,,,
Japan,2018,Historical,0.5686701529247689,0.5240217494592343,,,
Japan,2019,Historical,0.7674834155199607,0.7318712103920193,,,
Japan,2020,Historical,1.047535906213693,1.018550111519263,,,
Japan,2021,Historical,1.4148880489213127,1.4106467021067535,,,
Japan,2022,Historical,1.8929699987953406,1.9408062514004878,,,
Japan,2023,Historical,2.470675636911557,2.6466278620130828,,,
Japan,2024,Historical,3.6716060886216333,3.5671889792520854,,,
Japan,2025,Historical,4.753664193694956,4.7361460921964404,,,
Japan,2026,Forecast,,,6.234602013309446,6.358024946148098,6.17289054689012
Japan,2027,Forecast,,,8.023845655175052,8.344677372136525,7.865788200043106
Japan,2028,Forecast,,,10.061882345786463,10.67135852545049,9.76604582493727
Japan,2029,Forecast,,,12.264839482823406,13.265262155590811,11.786401543130204
Japan,2030,Forecast,,,14.518782517577915,16.013920214544953,13.81431659250994
Japan,2031,Forecast,,,16.70348752894711,18.7883269842431,15.735704925928095
Japan,2032,Forecast,,,18.71839909512206,21.471537679066795,17.459330640654013
Japan,2033,Forecast,,,20.49968704233193,23.980330698087222,18.931540677632945
Japan,2034,Forecast,,,22.023465580821426,26.27284411413497,20.13743858619857
Japan,2035,Forecast,,,23.298026327095688,28.343537508578482,21.091989267233256
South Korea,2016,Historical,0.2539672382674758,0.21389327672376912,,,
South Korea,2017,Historical,0.315581784263974,0.305488175427229,,,
South Korea,2018,Historical,0.4775095633966334,0.4355351404619131,,,
South Korea,2019,Historical,0.6770340802987711,0.6193886513934352,,,
South Korea,2020,Historical,0.9274577193364257,0.8777456913220612,,,
South Korea,2021,Historical,1.277990701656532,1.2377326534196893,,,
South Korea,2022,Historical,1.6934511161409014,1.7334470197868581,,,
South Korea,2023,Historical,2.198443722634951,2.4050908082990987,,,
South Korea,2024,Historical,3.3831495988744624,3.2953960042381705,,,
South Korea,2025,Historical,4.472190203866237,4.441912458171944,,,
South Korea,2026,Forecast,,,5.923746636499365,6.041039018468699,5.865100445514698
South Korea,2027,Forecast,,,7.704011892756594,8.012116876366642,7.5522246964904785
South Korea,2028,Forecast,,,9.73319160792778,10.32287741427458,9.446962911521124
South Korea,2029,Forecast,,,11.914784605797779,12.886852519756644,11.449911030349599
South Korea,2030,Forecast,,,14.121614699614353,15.576152347128657,13.436286429901799
South Korea,2031,Forecast,,,16.225646236730093,18.25126609977818,15.285367248785944
South Korea,2032,Forecast,,,18.127529037787664,20.79432221826892,16.907969793056207
South Korea,2033,Forecast,,,19.772572930045115,23.130472880095542,18.259758064711367
