Country,Dimension,Value
China,AI_Patents,0.9999999999999999
China,AI_Researchers,0.7993311036789298
China,Compute_Power,0.06848809304042829
China,Data_Centers,0.06848809304042829
China,Gov_Investment,1.0
India,AI_Patents,0.08721475461081589
India,AI_Researchers,0.3311036789297659
India,Compute_Power,0.048181650359977846
India,Data_Centers,0.048181650359977846
India,Gov_Investment,0.014392991239048811
UK,AI_Patents,0.021569240387621133
UK,AI_Researchers,0.12374581939799331
UK,Compute_Power,0.09470186450064612
UK,Data_Centers,0.09470186450064612
UK,Gov_Investment,0.061326658322903634
USA,AI_Patents,0.2185057830572054
USA,AI_Researchers,1.0
USA,Compute_Power,1.0
USA,Data_Centers,1.0
USA,Gov_Investment,0.4993742177722153
