Year,Canada,China,France,Germany,India,Japan,South Korea,UAE,UK,USA
2026,10.0,1.0,5.0,9.0,4.0,7.0,8.0,3.0,6.0,2.0
2027,10.0,1.0,5.0,9.0,3.0,6.0,7.0,4.0,8.0,2.0
2028,10.0,1.0,4.0,9.0,3.0,6.0,7.0,5.0,8.0,2.0
2029,10.0,1.0,4.0,9.0,3.0,5.0,6.0,7.0,8.0,2.0
2030,10.0,1.0,4.0,9.0,3.0,5.0,6.0,7.0,8.0,2.0
2031,10.0,1.0,4.0,9.0,3.0,5.0,6.0,7.0,8.0,2.0
2032,10.0,1.0,4.0,9.0,3.0,5.0,6.0,7.0,8.0,2.0
2033,10.0,1.0,4.0,9.0,3.0,5.0,6.0,7.0,8.0,2.0
2034,10.0,1.0,4.0,9.0,3.0,5.0,6.0,7.0,8.0,2.0
2035,10.0,1.0,4.0,9.0,3.0,5.0,6.0,7.0,8.0,2.0
