Country,Year,Score
Canada,2026,2.6293056056683546
Canada,2027,2.8466461470938045
Canada,2028,3.0214278120119378
Canada,2029,3.159886229285723
Canada,2030,3.269550234169581
Canada,2031,3.357527548599252
Canada,2032,3.429751433892968
Canada,2033,3.490829523831374
Canada,2034,3.544181610535258
Canada,2035,3.592272765975205
China,2026,80.82390461237503
China,2027,97.25607802703286
China,2028,113.59873617869275
China,2029,129.41736451537085
China,2030,144.53142200893248
China,2031,158.96445716933454
China,2032,172.86513731209212
China,2033,186.4374629921376
China,2034,199.89441123478807
China,2035,213.43356756484454
France,2026,7.217971713966373
France,2027,9.725141945497068
France,2028,12.562332423424975
France,2029,15.514308185997368
France,2030,18.337814845303054
France,2031,20.840170864683667
France,2032,22.925119238868444
France,2033,24.588605989330034
France,2034,25.884719562046893
France,2035,26.88972510533684
Germany,2026,4.958880027201824
Germany,2027,5.880502123451737
Germany,2028,6.7993526766937125
Germany,2029,7.674928424923448
Germany,2030,8.4762232892168
Germany,2031,9.185324704234551
Germany,2032,9.797066713494944
Germany,2033,10.316038587234207
Germany,2034,10.752741434361269
Germany,2035,11.120203769451107
India,2026,7.874731136239008
India,2027,10.712710516660463
India,2028,14.111864087971592
India,2029,17.951993970484487
India,2030,22.04434982380463
India,2031,26.18129528942342
India,2032,30.190545816718245
India,2033,33.967479397600535
India,2034,37.477377992572656
India,2035,40.73765876032942
Japan,2026,6.234602013309446
Japan,2027,8.023845655175052
Japan,2028,10.061882345786463
Japan,2029,12.264839482823406
Japan,2030,14.518782517577915
Japan,2031,16.70348752894711
Japan,2032,18.71839909512206
Japan,2033,20.49968704233193
Japan,2034,22.023465580821426
Japan,2035,23.298026327095688
South Korea,2026,5.923746636499365
South Korea,2027,7.704011892756594
South Korea,2028,9.73319160792778
South Korea,2029,11.914784605797779
South Korea,2030,14.121614699614353
South Korea,2031,16.225646236730093
South Korea,2032,18.127529037787664
South Korea,2033,19.772572930045115
South Korea,2034,21.149639565328133
South Korea,2035,22.278920387819632
UAE,2026,9.793613455367746
UAE,2027,10.5029308726462
UAE,2028,10.919045526217188
UAE,2029,11.181810679751543
UAE,2030,11.37024843260287
UAE,2031,11.52422316564811
UAE,2032,11.66285781092868
UAE,2033,11.795122555892052
UAE,2034,11.925185971868675
UAE,2035,12.054980448338041
UK,2026,6.365715914486308
UK,2027,7.320244752510473
UK,2028,8.21726543069894
UK,2029,9.027680511199044
UK,2030,9.737003400908346
UK,2031,10.343778190412378
UK,2032,10.85572609791753
UK,2033,11.285551530760394
UK,2034,11.647586155169249
UK,2035,11.955625933081885
USA,2026,76.35640020860038
USA,2027,93.0585741960171
USA,2028,109.84577553901784
USA,2029,125.92567722753712
USA,2030,140.7627911336644
USA,2031,154.1230795883741
USA,2032,166.02189752589243
USA,2033,176.63088488540245
USA,2034,186.19082198727136
USA,2035,194.95131663018844
