Country,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
Canada,,8.266081392626967,6.1399153911901205,4.58254924123398,3.4705048513296255,2.690807852108623,2.151103282051925,1.7808313843046708,1.5283498188512823,1.3569043780655488
China,,20.33083342541444,16.803739656371253,13.925003806200031,11.678539081798833,9.986088118270953,8.744520876103824,7.851395539368866,7.217942159628055,6.773154009870708
France,,34.735107463492284,29.17376932725986,23.498627986215737,18.19937199554973,13.645878969170377,10.004468714399973,7.256174910712043,5.271195826551911,3.882620945074966
Germany,,18.58528722603443,15.62537575792302,12.877339797815823,10.440421329419047,8.365770825313778,6.659993293197042,5.297216900895507,4.233241698683332,3.4173827886866404
India,,36.03906382735096,31.730098241941175,27.212066801196542,22.79610755244532,18.766466231412736,15.313415486033888,12.510318971413836,10.333114665022979,8.699329948863799
Japan,,28.698602381450833,25.39974942435441,21.894085632589988,18.377272999871685,15.047439471761281,12.062819591915218,9.516240882341641,7.433179518023314,5.787285119123942
South Korea,,30.05302835350967,26.33925990014432,22.41395305619043,18.521779174612373,14.899369384247517,11.721461033411828,9.074837992692132,6.9645293010426546,5.339480226144344
UAE,,7.242652780927217,3.961890815207747,2.4064846410196017,1.685216806545986,1.3541896991778657,1.2029847330084609,1.1340680569682737,1.1026881268957345,1.0884063089292573
UK,,14.994838771425023,12.253971124132622,9.862345172305954,7.857199740613008,6.231637851204064,4.949331840658333,3.9594351309703457,3.2079479981290904,2.6446662322040515
USA,,21.8739672663818,18.039392380588627,14.638616377930358,11.782437254093825,9.49134948739625,7.720334922775485,6.390113302888545,5.412381366979724,4.705116261593156
