Country,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
Canada,,28.57493768363788,28.574937683637593,28.57493768363808,28.574937683637835,28.57493768363788,28.574937683637835,28.574937683637593,28.574937683638346,28.574937683637348
China,,32.31625130896183,32.48022521025688,32.667471541386696,32.82462727190354,32.88365584424753,32.81385858011501,32.65123845912281,32.46437913531586,32.303844678623506
France,,32.795643313386115,32.7956433133864,32.795643313385916,32.79564331338627,32.7956433133858,32.79564331338665,32.79564331338622,32.79564331338574,32.795643313386556
Germany,,32.53582533706621,32.53582533706578,32.53582533706598,32.53582533706629,32.53582533706558,32.53582533706654,32.53582533706607,32.535825337065624,32.53582533706625
India,,43.50111846167985,43.50111846168008,43.50111846168041,43.5011184616797,43.50111846168052,43.50111846167965,43.50111846168001,43.50111846168052,43.50111846167959
Japan,,38.838763296344105,38.838763296343615,38.83876329634393,38.83876329634393,38.838763296343394,38.838763296344325,38.838763296343885,38.8387632963433,38.83876329634435
South Korea,,42.39863737085441,42.398637370854495,42.39863737085423,42.39863737085414,42.3986373708547,42.398637370854075,42.39863737085425,42.398637370854786,42.39863737085394
UAE,,23.432462243560902,22.31470667195381,21.444461902519674,20.755829145513594,20.20387308391136,19.756900803616606,19.391924868663345,19.091876426517263,18.843827739264498
UK,,28.747461154107313,28.747461154107356,28.747461154107555,28.747461154107246,28.74746115410778,28.747461154107135,28.74746115410767,28.74746115410689,28.747461154107977
USA,,33.97518530029073,33.97518530029067,33.9751853002904,33.97518530029065,33.975185300290775,33.97518530029065,33.97518530029062,33.97518530029067,33.9751853002902
