Year,Canada,China,France,Germany,India,Japan,South Korea,UAE,UK,USA
2026,9.0,2.0,8.0,7.0,3.0,5.0,6.0,10.0,4.0,1.0
2027,9.0,2.0,8.0,7.0,3.0,4.0,5.0,10.0,6.0,1.0
2028,9.0,2.0,8.0,7.0,3.0,5.0,4.0,10.0,6.0,1.0
2029,9.0,2.0,8.0,7.0,3.0,5.0,4.0,10.0,6.0,1.0
2030,9.0,2.0,8.0,7.0,3.0,5.0,4.0,10.0,6.0,1.0
2031,9.0,2.0,8.0,7.0,3.0,5.0,4.0,10.0,6.0,1.0
2032,9.0,2.0,8.0,7.0,3.0,5.0,4.0,10.0,6.0,1.0
2033,9.0,2.0,8.0,7.0,3.0,5.0,4.0,10.0,6.0,1.0
2034,9.0,2.0,8.0,7.0,3.0,5.0,4.0,10.0,6.0,1.0
2035,9.0,2.0,8.0,7.0,3.0,5.0,4.0,10.0,6.0,1.0
