Country,Year,Score
USA,2026,105.73794088517504
USA,2027,141.66260223362514
USA,2028,189.79273384371297
USA,2029,254.2751668536014
USA,2030,340.6656259647357
USA,2031,456.40740364065016
USA,2032,611.4726647518065
USA,2033,819.2216356618577
USA,2034,1097.553704398046
USA,2035,1470.4496092374814
China,2026,91.35170719078413
China,2027,120.87315446158487
China,2028,160.1330272494493
China,2029,212.44443835452415
China,2030,282.1785334042856
China,2031,374.9691511952959
China,2032,498.0109981875779
China,2033,660.6177567584617
China,2034,875.0832099477474
China,2035,1157.7687308979805
UK,2026,7.952101707939338
UK,2027,10.238129057364304
UK,2028,13.181331231037484
UK,2029,16.970629306274233
UK,2030,21.84925437370296
UK,2031,28.13036028724541
UK,2032,36.21712468333166
UK,2033,46.62862853280717
UK,2034,60.03317540696872
UK,2035,77.29118918666455
Germany,2026,5.796827893910358
Germany,2027,7.682873692563366
Germany,2028,10.182560058043158
Germany,2029,13.495540013369926
Germany,2030,17.886425340413858
Germany,2031,23.70592144821555
Germany,2032,31.41883864514915
Germany,2033,41.6412171096695
Germany,2034,55.189530776699854
Germany,2035,73.14590011455334
South Korea,2026,7.274291814561661
South Korea,2027,10.358492422315404
South Korea,2028,14.750352061540354
South Korea,2029,21.00430034303717
South Korea,2030,29.909837477766573
South Korea,2031,42.59120100817682
South Korea,2032,60.649289875525255
South Korea,2033,86.36376235784743
South Korea,2034,122.98082077977796
South Korea,2035,175.1230130178958
Japan,2026,7.631032190925275
Japan,2027,10.594830720626565
Japan,2028,14.709731945859012
Japan,2029,20.422809917837878
Japan,2030,28.35477672028918
Japan,2031,39.36742133388898
Japan,2032,54.65724092163268
Japan,2033,75.885437347498
Japan,2034,105.35840273528764
Japan,2035,146.2783033864552
France,2026,4.157612827886847
France,2027,5.521128701272204
France,2028,7.331818377014439
France,2029,9.736335380325375
France,2030,12.929429203451916
France,2031,17.169718687472745
France,2032,22.8006383861282
France,2033,30.278254424417824
France,2034,40.20820274696933
France,2035,53.39474150258869
Canada,2026,3.350187950626521
Canada,2027,4.307502069802794
Canada,2028,5.538368101970342
Canada,2029,7.120953335798856
Canada,2030,9.155761313984309
Canada,2031,11.77201440391795
Canada,2032,15.135860183946376
Canada,2033,19.460922799391568
Canada,2034,25.021869361978677
Canada,2035,32.17185293944523
UAE,2026,2.979785048261192
UAE,2027,3.678022054634269
UAE,2028,4.498761887455675
UAE,2029,5.4634971664961824
UAE,2030,6.597491303744107
UAE,2031,7.930440073474656
UAE,2032,9.497249252081303
UAE,2033,11.3389486916346
UAE,2034,13.503766763907675
UAE,2035,16.04839331121049
India,2026,9.088764598209796
India,2027,13.04247885278026
India,2028,18.716103028867774
India,2029,26.8578171788657
India,2030,38.54126804606543
India,2031,55.307150715418175
India,2032,79.36637986591194
India,2033,113.89164279012924
India,2034,163.43578123821737
India,2035,234.5321740434258
